No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish,id,latitude,longitude
1,2018,ACEH,1101,SIMEULUE,14.12,92393,13046,1101,2.61667,96.08333
2,2018,ACEH,1102,ACEH SINGKIL,6.36,121681,7739,1102,2.41667,97.91667
3,2018,ACEH,1103,ACEH SELATAN,11.76,235115,27650,1103,3.16667,97.41667
4,2018,ACEH,1104,ACEH TENGGARA,7.54,212417,16016,1104,3.36667,97.7
5,2018,ACEH,1105,ACEH TIMUR,7.28,427567,31127,1105,4.63333,97.63333
6,2018,ACEH,1106,ACEH TENGAH,6.71,208505,13991,1106,4.51,96.855
7,2018,ACEH,1107,ACEH BARAT,8.01,205971,16498,1107,4.45,96.16667
8,2018,ACEH,1108,ACEH BESAR,6.7,417302,27959,1108,5.38333,95.51667
9,2018,ACEH,1109,PIDIE,9.13,439131,40093,1109,5.08,96.11
10,2018,ACEH,1110,BIREUEN,8.88,461726,41001,1110,5.08333,96.58333
11,2018,ACEH,1111,ACEH UTARA,12.06,611435,73739,1111,4.97,97.14
12,2018,ACEH,1112,ACEH BARAT DAYA,10.92,148111,16174,1112,3.83333,96.88333
13,2018,ACEH,1113,GAYO LUES,7.75,92602,7177,1113,3.95,97.39
14,2018,ACEH,1114,ACEH TAMIANG,12.96,291112,37728,1114,4.25,97.96667
15,2018,ACEH,1115,NAGAN RAYA,11.24,164483,18488,1115,4.16667,96.51667
16,2018,ACEH,1116,ACEH JAYA,8.64,91087,7870,1116,4.86,95.64
17,2018,ACEH,1117,BENER MERIAH,7.43,145086,10780,1117,4.73015,96.86156
18,2018,ACEH,1118,PIDIE JAYA,5.09,158091,8047,1118,5.15,96.21667
19,2018,ACEH,1171,KOTA BANDA ACEH,3.52,265111,9332,1171,5.54167,95.33333
20,2018,ACEH,1172,KOTA SABANG,5.28,34571,1825,1172,5.82164,95.31086
21,2018,ACEH,1173,KOTA LANGSA,6.49,174318,11313,1173,4.47,97.93
22,2018,ACEH,1174,KOTA LHOKSEUMAWE,6.5,203284,13213,1174,5.13333,97.06667
23,2018,ACEH,1175,KOTA SUBULUSSALAM,8.04,80215,6449,1175,2.75,97.93333
24,2018,SUMATERA UTARA,1201,NIAS,5.8,138308,8022,1201,1.03333,97.76667
25,2018,SUMATERA UTARA,1202,MANDAILING NATAL,5.27,443490,23372,1202,0.78378,99.25495
26,2018,SUMATERA UTARA,1203,TAPANULI SELATAN,5.38,280283,15079,1203,1.51667,99.25
27,2018,SUMATERA UTARA,1204,TAPANULI TENGAH,6.2,370171,22951,1204,1.9,98.66667
28,2018,SUMATERA UTARA,1205,TAPANULI UTARA,4.37,299881,13105,1205,2.0028,99.0707
29,2018,SUMATERA UTARA,1206,TOBA SAMOSIR,3.81,182673,6960,1206,2.39793,99.21678
30,2018,SUMATERA UTARA,1207,LABUHANBATU,4.15,486480,20189,1207,2.26667,100.1
31,2018,SUMATERA UTARA,1208,ASAHAN,5.18,724379,37523,1208,2.78333,99.55
32,2018,SUMATERA UTARA,1209,SIMALUNGUN,7.03,863693,60718,1209,2.9,99.0
33,2018,SUMATERA UTARA,1210,DAIRI,4.64,283203,13141,1210,2.86667,98.23333
34,2018,SUMATERA UTARA,1211,KARO,3.65,409675,14953,1211,3.11667,98.3
35,2018,SUMATERA UTARA,1212,DELI SERDANG,6.95,2155625,149816,1212,3.41667,98.66667
36,2018,SUMATERA UTARA,1213,LANGKAT,7.79,1035411,80659,1213,3.71667,98.21667
37,2018,SUMATERA UTARA,1214,NIAS SELATAN,8.62,317207,27343,1214,0.77,97.75
38,2018,SUMATERA UTARA,1215,HUMBANG HASUNDUTAN,4.28,188480,8067,1215,2.26551,98.50376
39,2018,SUMATERA UTARA,1216,PAKPAK BHARAT,4.14,48119,1992,1216,2.56667,98.28333
40,2018,SUMATERA UTARA,1217,SAMOSIR,5.16,125816,6492,1217,2.64025,98.71525
41,2018,SUMATERA UTARA,1218,SERDANG BEDAGAI,6.49,614618,39889,1218,3.36667,99.03333
42,2018,SUMATERA UTARA,1219,BATU BARA,6.1,412992,25193,1219,3.16166,99.52652
43,2018,SUMATERA UTARA,1220,PADANG LAWAS UTARA,4.03,267771,10791,1220,1.46011,99.67346
44,2018,SUMATERA UTARA,1221,PADANG LAWAS,3.69,275515,10167,1221,1.44684,99.99207
