No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish
1,2018,ACEH,1101,SIMEULUE,14.12,92393,13046
2,2018,ACEH,1102,ACEH SINGKIL,6.36,121681,7739
3,2018,ACEH,1103,ACEH SELATAN,11.76,235115,27650
4,2018,ACEH,1104,ACEH TENGGARA,7.54,212417,16016
5,2018,ACEH,1105,ACEH TIMUR,7.28,427567,31127
6,2018,ACEH,1106,ACEH TENGAH,6.71,208505,13991
7,2018,ACEH,1107,ACEH BARAT,8.01,205971,16498
8,2018,ACEH,1108,ACEH BESAR,6.70,417302,27959
9,2018,ACEH,1109,PIDIE,9.13,439131,40093
10,2018,ACEH,1110,BIREUEN,8.88,461726,41001
11,2018,ACEH,1111,ACEH UTARA,12.06,611435,73739
12,2018,ACEH,1112,ACEH BARAT DAYA,10.92,148111,16174
13,2018,ACEH,1113,GAYO LUES,7.75,92602,7177
14,2018,ACEH,1114,ACEH TAMIANG,12.96,291112,37728
15,2018,ACEH,1115,NAGAN RAYA,11.24,164483,18488
16,2018,ACEH,1116,ACEH JAYA,8.64,91087,7870
17,2018,ACEH,1117,BENER MERIAH,7.43,145086,10780
18,2018,ACEH,1118,PIDIE JAYA,5.09,158091,8047
19,2018,ACEH,1171,KOTA BANDA ACEH,3.52,265111,9332
20,2018,ACEH,1172,KOTA SABANG,5.28,34571,1825
21,2018,ACEH,1173,KOTA LANGSA,6.49,174318,11313
22,2018,ACEH,1174,KOTA LHOKSEUMAWE,6.50,203284,13213
23,2018,ACEH,1175,KOTA SUBULUSSALAM,8.04,80215,6449
24,2018,SUMATERA UTARA,1201,NIAS,5.80,138308,8022
25,2018,SUMATERA UTARA,1202,MANDAILING NATAL,5.27,443490,23372
26,2018,SUMATERA UTARA,1203,TAPANULI SELATAN,5.38,280283,15079
27,2018,SUMATERA UTARA,1204,TAPANULI TENGAH,6.20,370171,22951
28,2018,SUMATERA UTARA,1205,TAPANULI UTARA,4.37,299881,13105
29,2018,SUMATERA UTARA,1206,TOBA SAMOSIR,3.81,182673,6960
